学期	学号	日期	时间
1	461	0901	132321	
1	405	0901	132323	
1	139	0901	132327	
1	140	0901	132604	
1	213	0901	132703	
1	60	0901	132942	
1	288	0901	133228	
1	403	0901	133415	
1	405	0901	133447	
1	287	0901	133514	
1	158	0901	133517	
1	434	0901	133645	
1	197	0901	133854	
1	299	0901	133855	
1	248	0901	133914	
1	216	0901	134345	
1	222	0901	134435	
1	432	0901	134535	
1	224	0901	134640	
1	264	0901	134718	
1	524	0901	134723	
1	305	0901	135140	
1	289	0901	135143	
1	316	0901	135144	
1	40	0901	135719	
1	243	0901	140300	
1	532	0901	140533	
1	430	0901	140731	
1	135	0901	140737	
1	133	0901	140755	
1	391	0901	140916	
1	7	0901	141007	
1	95	0901	141233	
1	290	0901	141339	
1	501	0901	141344	
1	244	0901	141349	
1	187	0901	141558	
1	268	0901	141954	
1	175	0901	142017	
1	330	0901	142021	
1	1	0901	142228	
1	535	0901	142626	
1	49	0901	142632	
1	260	0901	142722	
1	341	0901	143232	
1	537	0901	143702	
1	247	0901	143945	
1	95	0901	144144	
1	211	0901	144939	
1	458	0901	145025	
1	406	0901	145052	
1	339	0901	145123	
1	23	0901	145248	
1	493	0901	145607	
1	10	0901	145618	
1	502	0901	145807	
1	451	0901	145809	
1	24	0901	150148	
1	251	0901	150525	
1	19	0901	150717	
1	326	0901	150747	
1	239	0901	150801	
1	88	0901	150816	
1	239	0901	150912	
1	380	0901	151126	
1	223	0901	151552	
1	462	0901	151554	
1	10	0901	151619	
1	13	0901	152030	
1	414	0901	152445	
1	447	0901	153127	
1	385	0901	153226	
1	101	0901	153439	
1	506	0901	153808	
1	209	0901	153918	
1	530	0901	153927	
1	477	0901	154027	
1	381	0901	154242	
1	406	0901	154317	
1	268	0901	155829	
1	26	0901	155934	
1	108	0901	155937	
1	325	0901	160352	
1	485	0901	160450	
1	292	0901	160451	
1	320	0901	160550	
1	78	0901	160655	
1	325	0901	161243	
1	16	0901	161341	
1	12	0901	161915	
1	37	0901	161922	
1	132	0901	161924	
1	254	0901	161926	
1	374	0901	162130	
1	303	0901	162133	
1	92	0901	162137	
1	230	0901	162140	
1	172	0901	162258	
1	385	0901	162659	
1	479	0901	162700	
1	425	0901	162757	
1	332	0901	163035	
1	182	0901	163037	
1	426	0901	163428	
1	464	0901	163534	
1	168	0901	163557	
1	61	0901	164241	
1	68	0901	164410	
1	82	0901	164603	
1	168	0901	164738	
1	239	0901	173751	
1	463	0901	174151	
1	463	0901	174402	
1	463	0901	174428	
1	448	0902	090354	
1	521	0902	092820	
1	471	0902	092822	
1	220	0902	092824	
1	185	0902	092825	
1	12	0902	092827	
1	160	0902	092828	
1	119	0902	092828	
1	382	0902	092832	
1	464	0902	092832	
1	446	0902	092832	
1	56	0902	092833	
1	482	0902	092834	
1	385	0902	092834	
1	286	0902	092834	
1	265	0902	092835	
1	449	0902	092836	
1	500	0902	092837	
1	10	0902	092837	
1	411	0902	092838	
1	218	0902	092841	
1	479	0902	092842	
1	96	0902	092901	
1	14	0902	092906	
1	29	0902	092907	
1	24	0902	092909	
1	234	0902	092910	
1	397	0902	092910	
1	85	0902	092911	
1	247	0902	092912	
1	13	0902	092912	
1	37	0902	092912	
1	534	0902	092916	
1	111	0902	092917	
1	476	0902	092917	
1	209	0902	092918	
1	157	0902	092918	
1	212	0902	092920	
1	532	0902	092921	
1	412	0902	092921	
1	189	0902	092921	
1	501	0902	092930	
1	366	0902	092934	
1	433	0902	095126	
1	107	0902	095127	
1	336	0902	095128	
1	48	0902	095142	
1	247	0902	095958	
1	167	0902	100912	
1	423	0902	110649	
1	179	0902	110652	
1	71	0902	110653	
1	369	0902	110654	
1	515	0902	110658	
1	405	0902	110658	
1	187	0902	110700	
1	282	0902	110702	
1	400	0902	110702	
1	337	0902	110703	
1	537	0902	110708	
1	379	0902	110708	
1	140	0902	110711	
1	135	0902	110716	
1	430	0902	110717	
1	155	0902	110718	
1	137	0902	110721	
1	503	0902	110721	
1	469	0902	110724	
1	496	0902	110725	
1	230	0902	110728	
1	309	0902	110729	
1	268	0902	110729	
1	99	0902	110731	
1	316	0902	112006	
1	44	0902	112006	
1	264	0902	112008	
1	395	0902	112010	
1	515	0902	113128	
1	369	0902	113130	
1	400	0902	113135	
1	379	0902	113140	
1	537	0902	113141	
1	156	0902	115102	
1	232	0902	115104	
1	156	0902	115146	
1	65	0902	115509	
1	68	0902	115509	
1	117	0902	115513	
1	368	0902	115513	
1	450	0902	115514	
1	95	0902	115517	
1	463	0902	115519	
1	444	0902	115520	
1	363	0902	115522	
1	403	0902	115525	
1	488	0902	115527	
1	295	0902	115532	
1	346	0902	115534	
1	251	0902	125037	
1	349	0902	125038	
1	255	0902	125039	
1	132	0902	131647	
1	89	0902	132355	
1	477	0902	134721	
1	497	0902	135344	
1	65	0902	140008	
1	251	0902	140134	
1	251	0902	140224	
1	240	0902	141221	
1	497	0902	142319	
1	154	0902	142500	
1	497	0902	142537	
1	16	0902	142659	
1	451	0902	142708	
1	246	0902	142909	
1	165	0902	142911	
1	497	0902	143409	
1	154	0902	143811	
1	524	0902	143853	
1	53	0902	143853	
1	109	0902	143853	
1	133	0902	143855	
1	203	0902	143856	
1	175	0902	143856	
1	206	0902	143857	
1	502	0902	143858	
1	451	0902	143858	
1	419	0902	143900	
1	153	0902	143900	
1	169	0902	143909	
1	456	0902	143910	
1	497	0902	144727	
1	269	0902	145551	
1	205	0902	145553	
1	86	0902	150342	
1	342	0902	150344	
1	486	0902	150345	
1	466	0902	150345	
1	159	0902	150347	
1	293	0902	150347	
1	531	0902	150348	
1	389	0902	150349	
1	297	0902	150350	
1	114	0902	150350	
1	490	0902	150351	
1	125	0902	150352	
1	33	0902	150353	
1	150	0902	150354	
1	507	0902	150355	
1	21	0902	150355	
1	19	0902	150359	
1	122	0902	150401	
1	283	0902	150401	
1	432	0902	150402	
1	251	0902	152242	
1	446	0902	152443	
1	500	0902	152509	
1	183	0902	152710	
1	470	0902	152711	
1	435	0902	152712	
1	163	0902	152714	
1	172	0902	152715	
1	408	0902	152715	
1	260	0902	152715	
1	388	0902	152716	
1	4	0902	152717	
1	303	0902	152717	
1	7	0902	152717	
1	311	0902	152718	
1	35	0902	152718	
1	225	0902	152719	
1	493	0902	152720	
1	356	0902	152720	
1	97	0902	152721	
1	281	0902	152724	
1	163	0902	153339	
1	311	0902	153346	
1	260	0902	153349	
1	281	0902	153351	
1	10	0902	153740	
1	286	0902	153742	
1	302	0902	155737	
1	302	0902	160418	
1	117	0902	160810	
1	164	0902	160845	
1	164	0902	160924	
1	74	0902	161544	
1	322	0902	161547	
1	38	0902	161916	
1	296	0902	163107	
1	371	0902	163108	
1	505	0902	163109	
1	207	0902	163110	
1	197	0902	163112	
1	113	0902	163113	
1	381	0902	164258	
1	246	0903	181451	
1	131	0903	211931	
1	477	0903	211932	
1	76	0904	115250	
1	288	0904	115254	
1	514	0904	120128	
1	76	0904	120131	
1	288	0904	120134	
1	240	0904	120917	
1	290	0904	121444	
1	264	0904	124523	
1	211	0904	124524	
1	290	0904	124532	
1	432	0904	124557	
1	291	0904	125142	
1	57	0904	181724	
1	14	0904	183349	
1	14	0904	184152	
1	290	0905	121451	
1	290	0905	123004	
1	16	0905	123330	
1	278	0905	151927	
1	124	0905	151937	
1	512	0905	151939	
1	302	0905	175733	
1	132	0905	212740	
1	334	0906	073402	
1	468	0906	114542	
1	481	0906	120237	
1	515	0906	120823	
1	71	0906	120830	
1	400	0906	120841	
1	132	0906	121427	
1	255	0906	121434	
1	341	0906	121522	
1	502	0906	121749	
1	150	0906	122206	
1	37	0906	122733	
1	13	0906	122736	
1	461	0906	123929	
1	37	0906	125303	
1	13	0906	125554	
1	290	0906	132953	
1	382	0906	143852	
1	430	0906	145143	
1	468	0906	180004	
1	515	0906	180738	
1	68	0906	201045	
1	382	0906	201402	
1	21	0906	204518	
1	300	0906	210453	
1	131	0906	210820	
1	416	0906	210822	
1	372	0906	210824	
1	537	0906	210936	
1	496	0906	210937	
1	21	0906	212334	
1	21	0906	213358	
1	410	0906	215619	
1	95	0907	123218	
1	95	0907	123632	
1	95	0907	124534	
1	44	0907	124928	
1	395	0907	124930	
1	95	0907	125209	
1	290	0907	125551	
1	430	0907	175548	
1	457	0907	205455	
1	529	0907	205458	
1	410	0907	212028	
1	132	0907	213628	
1	461	0907	213630	
1	150	0908	124642	
1	327	0908	163133	
1	327	0908	193736	
1	300	0908	211523	
1	140	0908	211659	
1	468	0908	212507	
1	361	0909	091615	
1	5	0909	093637	
1	361	0909	103826	
1	361	0909	103805	
1	124	0909	113648	
1	512	0909	113649	
1	348	0909	120524	
1	117	0909	123900	
1	502	0909	124222	
1	14	0909	124715	
1	341	0909	125048	
1	481	0909	131430	
1	40	0909	132215	
1	19	0909	181236	
1	65	0909	181839	
1	225	0909	183037	
1	446	0909	183936	
1	164	0909	184804	
1	218	0909	185246	
1	471	0909	185249	
1	411	0909	185250	
1	12	0909	185253	
1	56	0909	185259	
1	471	0909	185408	
1	268	0909	185512	
1	310	0909	185828	
1	89	0909	185829	
1	145	0909	190137	
1	406	0909	190140	
1	262	0909	190147	
1	274	0909	191047	
1	110	0909	191049	
1	414	0909	191612	
1	326	0909	191652	
1	339	0909	191653	
1	357	0909	191834	
1	305	0909	191940	
1	58	0909	191941	
1	452	0909	191946	
1	529	0909	192205	
1	426	0909	192657	
1	518	0909	192700	
1	220	0909	192843	
1	119	0909	192844	
1	405	0909	193142	
1	430	0909	193143	
1	172	0909	193154	
1	4	0909	193430	
1	183	0909	193433	
1	152	0909	193435	
1	7	0909	193439	
1	105	0909	193530	
1	429	0909	193532	
1	519	0909	193533	
1	224	0909	193536	
1	392	0909	194224	
1	477	0909	194346	
1	271	0909	194348	
1	337	0909	194922	
1	515	0909	195013	
1	463	0909	195058	
1	200	0909	195259	
1	458	0909	195302	
1	527	0909	195304	
1	11	0909	195311	
1	135	0909	195514	
1	6	0909	195517	
1	488	0909	195722	
1	470	0909	195855	
1	388	0909	195859	
1	481	0909	200005	
1	51	0909	200007	
1	349	0909	200009	
1	384	0909	200018	
1	151	0909	200021	
1	355	0909	200341	
1	70	0909	200343	
1	536	0909	200347	
1	268	0909	200503	
1	179	0909	200526	
1	187	0909	200528	
1	70	0909	200928	
1	355	0909	200932	
1	536	0909	200934	
1	432	0909	201229	
1	287	0909	201231	
1	246	0909	201232	
1	158	0909	201232	
1	443	0909	201309	
1	125	0909	201525	
1	293	0909	201527	
1	159	0909	201528	
1	74	0909	201754	
1	53	0909	201858	
1	172	0909	203123	
1	506	0909	203808	
1	400	0909	204345	
1	71	0909	204350	
1	515	0909	205712	
1	71	0909	215545	
1	150	0910	120552	
1	196	0910	122121	
1	69	0910	122322	
1	91	0910	122327	
1	294	0910	122333	
1	196	0910	122436	
1	145	0910	122552	
1	294	0910	123046	
1	502	0910	123824	
1	375	0910	124940	
1	9	0910	130020	
1	240	0910	130130	
1	485	0910	164301	
1	6	0910	173129	
1	537	0910	214755	
1	496	0910	214756	
1	65	0911	121937	
1	481	0911	122333	
1	368	0911	124410	
1	16	0911	124751	
1	173	0911	125907	
1	283	0911	132448	
1	70	0911	190133	
1	246	0911	200535	
1	184	0911	203508	
1	6	0911	203511	
1	131	0911	212327	
1	174	0912	120021	
1	125	0912	120509	
1	485	0912	122119	
1	240	0912	122302	
1	538	0912	122455	
1	477	0912	122540	
1	426	0912	123853	
1	150	0912	124358	
1	167	0912	124540	
1	167	0912	125829	
1	15	0912	125927	
1	13	0912	130226	
1	167	0912	130707	
1	15	0912	130709	
1	292	0912	132003	
1	426	0912	133236	
1	350	0912	133620	
1	443	0912	134516	
1	350	0912	135315	
1	536	0912	141743	
1	457	0912	142158	
1	22	0912	142159	
1	536	0912	142304	
1	536	0912	142316	
1	443	0912	142429	
1	184	0912	201308	
1	514	0912	201309	
1	200	0912	210726	
1	131	0912	211443	
1	131	0912	211831	
1	65	0913	115649	
1	468	0913	120701	
1	254	0913	123616	
1	117	0913	124600	
1	244	0913	125132	
1	218	0913	130617	
1	382	0913	184242	
1	485	0913	193014	
1	255	0913	194257	
1	13	0913	200306	
1	418	0913	200308	
1	70	0914	083904	
1	529	0914	083908	
1	340	0914	084823	
1	200	0914	092635	
1	132	0914	100031	
1	198	0914	115047	
1	145	0914	121653	
1	306	0914	122543	
1	306	0914	122758	
1	270	0914	122857	
1	133	0914	122858	
1	22	0914	123545	
1	457	0914	123554	
1	132	0914	124357	
1	512	0914	132641	
1	278	0914	132641	
1	124	0914	132642	
1	408	0914	134307	
1	507	0914	143051	
1	389	0914	150156	
1	335	0914	151801	
1	255	0914	152431	
1	340	0914	155029	
1	70	0914	160718	
1	70	0914	182225	
1	529	0914	182230	
1	117	0914	183325	
1	507	0914	185455	
1	255	0914	190029	
1	132	0914	190029	
1	200	0914	192358	
1	88	0914	195609	
1	510	0914	200949	
1	216	0914	200951	
1	150	0914	200953	
1	83	0914	202527	
1	458	0914	202530	
1	11	0914	202532	
1	514	0914	203132	
1	462	0914	204348	
1	443	0914	205032	
1	442	0914	205210	
1	172	0914	205502	
1	164	0914	210044	
1	349	0914	210045	
1	131	0914	211611	
1	88	0914	215855	
1	184	0915	093818	
1	515	0915	100544	
1	145	0915	101748	
1	536	0915	123303	
1	240	0915	125743	
1	513	0915	130304	
1	217	0915	132332	
1	31	0915	132357	
1	88	0915	132359	
1	311	0915	132529	
1	519	0915	133055	
1	172	0915	133634	
1	357	0915	133756	
1	290	0915	134058	
1	20	0915	134247	
1	417	0915	134300	
1	311	0915	134446	
1	414	0915	134843	
1	155	0915	134846	
1	252	0915	134911	
1	329	0915	135357	
1	477	0915	135654	
1	76	0915	135713	
1	214	0915	140226	
1	417	0915	140346	
1	319	0915	140539	
1	140	0915	140853	
1	244	0915	141358	
1	341	0915	141401	
1	225	0915	141423	
1	391	0915	141806	
1	395	0915	142639	
1	311	0915	143207	
1	91	0915	143645	
1	294	0915	143651	
1	402	0915	143653	
1	105	0915	143701	
1	373	0915	144539	
1	24	0915	144719	
1	416	0915	144948	
1	185	0915	145314	
1	482	0915	145316	
1	142	0915	150523	
1	319	0915	150603	
1	536	0915	150849	
1	132	0915	151406	
1	410	0915	151408	
1	502	0915	151645	
1	451	0915	151651	
1	329	0915	151905	
1	292	0915	152433	
1	416	0915	152549	
1	1	0915	152552	
1	425	0915	152555	
1	363	0915	153205	
1	303	0915	153348	
1	329	0915	153509	
1	429	0915	154055	
1	328	0915	154843	
1	196	0915	155609	
1	337	0915	155755	
1	444	0915	155839	
1	358	0915	160012	
1	212	0915	160304	
1	532	0915	160307	
1	494	0915	160340	
1	201	0915	160428	
1	376	0915	160430	
1	48	0915	160438	
1	134	0915	160747	
1	430	0915	160800	
1	205	0915	161203	
1	400	0915	161203	
1	71	0915	161205	
1	151	0915	161206	
1	532	0915	161255	
1	226	0915	161454	
1	530	0915	161704	
1	411	0915	161750	
1	68	0915	161958	
1	450	0915	161958	
1	124	0915	162227	
1	512	0915	162232	
1	196	0915	162411	
1	491	0915	163354	
1	208	0915	163403	
1	1	0915	163416	
1	425	0915	163420	
1	254	0915	164440	
1	373	0915	164607	
1	132	0915	164632	
1	208	0915	164818	
1	491	0915	164820	
1	467	0915	165138	
1	200	0915	170530	
1	458	0915	170531	
1	527	0915	170538	
1	395	0915	171047	
1	308	0915	172038	
1	89	0915	172423	
1	512	0915	173047	
1	452	0915	173244	
1	63	0915	173244	
1	514	0915	173338	
1	462	0915	173623	
1	223	0915	173623	
1	423	0915	174101	
1	182	0915	174210	
1	381	0915	174214	
1	288	0915	174941	
1	11	0915	174945	
1	184	0915	175343	
1	497	0915	175604	
1	133	0915	175607	
1	19	0915	180011	
1	373	0915	180229	
1	380	0915	180230	
1	497	0915	180546	
1	133	0915	180601	
1	249	0915	180632	
1	291	0915	180648	
1	60	0915	181212	
1	470	0915	181427	
1	388	0915	181428	
1	88	0915	181623	
1	446	0915	182502	
1	287	0915	185321	
1	287	0915	185403	
1	388	0915	185849	
1	317	0915	185939	
1	481	0915	190033	
1	490	0915	190105	
1	293	0915	190106	
1	122	0915	190108	
1	125	0915	190109	
1	486	0915	190109	
1	114	0915	190110	
1	159	0915	190110	
1	432	0915	190111	
1	388	0915	191134	
1	101	0915	191615	
1	374	0915	191618	
1	119	0915	192839	
1	309	0915	192939	
1	171	0915	193910	
1	145	0915	194121	
1	97	0915	194155	
1	525	0915	194229	
1	172	0915	195048	
1	406	0915	200719	
1	271	0915	200720	
1	262	0915	200724	
1	507	0915	201124	
1	86	0915	202511	
1	297	0915	202512	
1	466	0915	202520	
1	342	0915	203104	
1	179	0915	203534	
1	187	0915	203535	
1	506	0915	204318	
1	529	0915	204642	
1	215	0915	204646	
1	392	0915	205153	
1	529	0915	205856	
1	22	0915	205859	
1	35	0915	205901	
1	179	0915	212317	
1	187	0915	212319	
1	248	0916	070313	
1	447	0916	073516	
1	291	0916	074456	
1	291	0916	074559	
1	328	0916	074702	
1	276	0916	083603	
1	247	0916	083928	
1	481	0916	084245	
1	414	0916	084248	
1	385	0916	084638	
1	507	0916	084640	
1	432	0916	084839	
1	134	0916	085159	
1	423	0916	085356	
1	140	0916	085357	
1	208	0916	085935	
1	491	0916	085937	
1	483	0916	085950	
1	357	0916	085953	
1	82	0916	085956	
1	416	0916	090557	
1	61	0916	090815	
1	434	0916	090834	
1	261	0916	091951	
1	287	0916	092440	
1	158	0916	092441	
1	209	0916	092505	
1	168	0916	092506	
1	208	0916	092657	
1	506	0916	092745	
1	497	0916	093058	
1	524	0916	093100	
1	385	0916	093310	
1	207	0916	093601	
1	97	0916	094448	
1	173	0916	094801	
1	307	0916	094821	
1	417	0916	094823	
1	73	0916	094826	
1	486	0916	095135	
1	168	0916	100005	
1	494	0916	102123	
1	467	0916	102133	
1	131	0916	102853	
1	332	0916	102950	
1	206	0916	103000	
1	5	0916	103131	
1	354	0916	103133	
1	84	0916	103142	
1	206	0916	103204	
1	433	0916	103543	
1	506	0916	103927	
1	168	0916	105432	
1	380	0916	105921	
1	341	0916	110019	
1	339	0916	110403	
1	339	0916	114941	
1	240	0916	115141	
1	423	0916	115144	
1	140	0916	115150	
1	426	0916	121155	
1	290	0916	121905	
1	37	0916	123336	
1	200	0916	123543	
1	264	0916	130939	
1	211	0916	130951	
1	354	0916	131001	
1	357	0916	131036	
1	363	0916	131311	
1	444	0916	131316	
1	527	0916	131640	
1	442	0916	131817	
1	382	0916	132105	
1	26	0916	133339	
1	363	0916	133604	
1	537	0916	134229	
1	423	0916	134234	
1	140	0916	134239	
1	335	0916	134257	
1	405	0916	134304	
1	430	0916	134306	
1	262	0916	134634	
1	145	0916	134637	
1	116	0916	134832	
1	133	0916	134917	
1	392	0916	135021	
1	363	0916	135133	
1	437	0916	135310	
1	306	0916	135311	
1	100	0916	135313	
1	243	0916	135316	
1	254	0916	135322	
1	133	0916	135411	
1	224	0916	135551	
1	338	0916	135551	
1	65	0916	135643	
1	463	0916	135659	
1	107	0916	135616	
1	297	0916	135654	
1	466	0916	135659	
1	86	0916	135703	
1	335	0916	135803	
1	416	0916	153600	
1	501	0916	153603	
1	29	0916	153626	
1	14	0916	153627	
1	269	0916	153629	
1	195	0916	153631	
1	205	0916	153635	
1	385	0916	153639	
1	95	0916	153647	
1	443	0916	153649	
1	119	0916	153656	
1	385	0916	153658	
1	31	0916	153706	
1	217	0916	153709	
1	505	0916	153716	
1	116	0916	153728	
1	147	0916	153729	
1	486	0916	153731	
1	357	0916	153733	
1	315	0916	153749	
1	150	0916	153751	
1	532	0916	153804	
1	165	0916	153808	
1	126	0916	153809	
1	89	0916	153814	
1	74	0916	153822	
1	349	0916	153836	
1	503	0916	153843	
1	137	0916	153846	
1	155	0916	153847	
1	268	0916	153850	
1	132	0916	153900	
1	506	0916	153901	
1	368	0916	153903	
1	410	0916	153906	
1	292	0916	153911	
1	364	0916	153911	
1	391	0916	153913	
1	400	0916	153913	
1	157	0916	153914	
1	488	0916	153915	
1	369	0916	153915	
1	468	0916	153920	
1	332	0916	153935	
1	415	0916	153941	
1	419	0916	153941	
1	211	0916	153945	
1	484	0916	153946	
1	288	0916	153948	
1	142	0916	153950	
1	105	0916	153953	
1	467	0916	153953	
1	519	0916	153954	
1	322	0916	153955	
1	494	0916	153956	
1	429	0916	153957	
1	139	0916	153957	
1	213	0916	153958	
1	21	0916	153959	
1	9	0916	153959	
1	319	0916	154007	
1	159	0916	154007	
1	426	0916	154008	
1	153	0916	154009	
1	530	0916	154011	
1	58	0916	154013	
1	414	0916	154015	
1	481	0916	154017	
1	372	0916	154018	
1	316	0916	154018	
1	131	0916	154023	
1	60	0916	154024	
1	179	0916	154027	
1	23	0916	154029	
1	187	0916	154029	
1	341	0916	154030	
1	395	0916	154032	
1	289	0916	154032	
1	458	0916	154033	
1	44	0916	154034	
1	224	0916	154035	
1	198	0916	154037	
1	145	0916	154038	
1	461	0916	154043	
1	200	0916	154045	
1	11	0916	154046	
1	40	0916	154046	
1	182	0916	154049	
1	342	0916	154051	
1	381	0916	154051	
1	384	0916	154051	
1	375	0916	154052	
1	334	0916	154054	
1	523	0916	154055	
1	32	0916	154055	
1	65	0916	154057	
1	81	0916	154057	
1	358	0916	154058	
1	380	0916	154058	
1	53	0916	154100	
1	341	0916	154104	
1	434	0916	154105	
1	152	0916	154107	
1	445	0916	154107	
1	225	0916	154107	
1	502	0916	154112	
1	183	0916	154114	
1	347	0916	154124	
1	457	0916	154128	
1	529	0916	154131	
1	295	0916	154131	
1	518	0916	154133	
1	451	0916	154143	
1	361	0916	154203	
1	531	0916	154208	
1	248	0916	154214	
1	510	0916	154233	
1	244	0916	154234	
1	326	0916	154310	
1	222	0916	154313	
1	172	0916	154550	
1	92	0916	154702	
1	535	0916	154714	
1	477	0916	155017	
1	497	0916	155053	
1	485	0916	155846	
1	167	0916	160955	
1	426	0916	161202	
1	500	0916	164004	
1	269	0916	164031	
1	512	0916	164733	
1	131	0916	165051	
1	319	0916	165402	
1	485	0916	172548	
1	451	0916	172943	
1	451	0916	173137	
1	502	0916	173352	
1	347	0916	173511	
1	19	0916	174147	
1	120	0916	175526	
1	403	0916	175527	
1	470	0916	175644	
1	388	0916	175650	
1	131	0916	180210	
1	9	0916	181900	
1	418	0916	183048	
1	13	0916	183050	
1	175	0916	184427	
1	89	0916	185837	
1	357	0916	185900	
1	209	0916	185946	
1	29	0916	190634	
1	14	0916	190635	
1	96	0916	190636	
1	397	0916	190637	
1	129	0916	190906	
1	291	0916	192905	
1	249	0916	192907	
1	335	0916	193237	
1	126	0916	193237	
1	403	0916	194137	
1	392	0916	194836	
1	514	0916	195012	
1	392	0916	195122	
1	134	0916	195444	
1	513	0916	195718	
1	20	0916	195727	
1	76	0916	200940	
1	443	0916	213055	
1	150	0917	101756	
1	205	0917	101914	
1	240	0917	101957	
1	9	0917	101959	
1	349	0917	102007	
1	481	0917	102008	
1	462	0917	102044	
1	349	0917	102114	
1	525	0917	102145	
1	125	0917	102149	
1	122	0917	102307	
1	432	0917	103100	
1	95	0917	105514	
1	297	0917	110837	
1	95	0917	111613	
1	450	0917	114907	
1	240	0917	115556	
1	357	0917	120524	
1	239	0917	120525	
1	207	0917	120539	
1	505	0917	120540	
1	371	0917	120541	
1	296	0917	120545	
1	113	0917	120547	
1	472	0917	120549	
1	58	0917	120652	
1	326	0917	120654	
1	197	0917	120657	
1	368	0917	120900	
1	423	0917	121340	
1	140	0917	121344	
1	341	0917	122030	
1	101	0917	124755	
1	296	0917	125908	
1	299	0917	130838	
1	49	0917	131837	
1	134	0917	133324	
1	433	0917	133955	
1	368	0917	134955	
1	291	0917	135246	
1	361	0917	140555	
1	361	0917	141506	
1	92	0917	142129	
