学期	学号	书号	日期
1	526	2721924	0912	
1	443	1294278	0912	
1	131	1289199	0912	
1	254	1381333	0913	
1	244	2633336	0913	
1	492	2848894	0913	
1	70	1410367	0914	
1	70	2752789	0914	
1	70	2916265	0914	
1	70	2931875	0914	
1	133	2717285	0914	
1	133	2777006	0914	
1	133	2867822	0914	
1	133	2861599	0914	
1	133	1241254	0914	
1	270	1421129	0914	
1	270	2717286	0914	
1	270	1217462	0914	
1	270	2861598	0914	
1	408	1448676	0914	
1	150	2934112	0914	
1	150	2830432	0914	
1	150	2875872	0914	
1	150	2919244	0914	
1	150	2654947	0914	
1	150	2927423	0914	
1	131	2696306	0914	
1	172	1341022	0914	
1	349	1356579	0914	
1	349	1408760	0914	
1	349	2793595	0914	
1	443	2820450	0914	
1	443	1498600	0914	
1	172	1301373	0914	
1	442	2575311	0914	
1	442	1561377	0914	
1	442	2575315	0914	
1	513	1301889	0915	
1	25	2832452	0915	
1	172	2112822	0915	
1	172	1258119	0915	
1	172	1572913	0915	
1	46	2867993	0915	
1	172	2019483	0915	
1	290	1513073	0915	
1	290	1513066	0915	
1	290	1092915	0915	
1	25	1263401	0915	
1	46	2740438	0915	
1	526	2935051	0915	
1	414	2828234	0915	
1	414	2694939	0915	
1	155	1330054	0915	
1	155	2835491	0915	
1	341	1273907	0915	
1	341	2853587	0915	
1	121	1160390	0915	
1	121	2931878	0915	
1	121	1320239	0915	
1	121	1503565	0915	
1	121	2670218	0915	
1	121	1410371	0915	
1	279	2572451	0915	
1	416	2607424	0915	
1	416	2590428	0915	
1	429	2594682	0915	
1	429	1559205	0915	
1	429	2682840	0915	
1	93	2697416	0915	
1	303	1298404	0915	
1	87	1298403	0915	
1	359	2788036	0915	
1	359	2907147	0915	
1	363	1324253	0915	
1	363	1259226	0915	
1	87	2782657	0915	
1	359	2879927	0915	
1	1	2716130	0915	
1	425	1457118	0915	
1	425	2871910	0915	
1	425	1277427	0915	
1	358	1197524	0915	
1	196	1432478	0915	
1	450	2646585	0915	
1	337	1514050	0915	
1	292	2667338	0915	
1	292	2763607	0915	
1	292	1478041	0915	
1	292	2879769	0915	
1	292	2665210	0915	
1	238	1560169	0915	
1	238	1552492	0915	
1	238	1388403	0915	
1	512	2882802	0915	
1	208	2660697	0915	
1	208	2742682	0915	
1	208	1403220	0915	
1	491	1359389	0915	
1	491	1420978	0915	
1	491	2800509	0915	
1	358	1427298	0915	
1	497	1194279	0915	
1	497	2589121	0915	
1	497	1335100	0915	
1	273	1360290	0915	
1	273	2934671	0915	
1	273	1457847	0915	
1	273	2565120	0915	
1	470	2752171	0915	
1	470	2825347	0915	
1	245	1429680	0915	
1	245	1547526	0915	
1	446	2857564	0915	
1	446	2596506	0915	
1	388	1520943	0915	
1	388	2662560	0915	
1	446	2808458	0915	
1	19	1355912	0915	
1	19	2907267	0915	
1	423	2808779	0915	
1	481	2871909	0915	
1	481	2694867	0915	
1	317	2712564	0915	
1	317	1548563	0915	
1	119	2716128	0915	
1	119	1513548	0915	
1	119	1293238	0915	
1	309	2811368	0915	
1	309	2626959	0915	
1	507	1388772	0915	
1	432	1266436	0915	
1	432	1269355	0915	
1	432	1117384	0915	
1	122	1079689	0915	
1	122	1104613	0915	
1	309	2691818	0915	
1	342	2861444	0915	
1	342	1470525	0915	
1	466	2926051	0915	
1	146	1105091	0915	
1	22	1406919	0915	
1	506	2237927	0915	
1	506	1562819	0915	
1	125	2584187	0915	
1	187	1227194	0915	
1	172	1403721	0915	
1	172	2597711	0915	
1	179	2741693	0915	
1	309	2799410	0915	
1	309	2845489	0915	
1	406	2879560	0915	
1	271	1544470	0915	
1	271	1387128	0915	
1	271	1398856	0915	
1	208	2931876	0916	
1	522	1320237	0916	
1	491	1320238	0916	
1	491	2684377	0916	
1	491	2931877	0916	
1	522	1410366	0916	
1	483	1410372	0916	
1	483	2925199	0916	
1	82	2684379	0916	
1	82	1248845	0916	
1	82	2758592	0916	
1	36	1284874	0916	
1	36	2768161	0916	
1	522	2684380	0916	
1	497	2842119	0916	
1	432	1088326	0916	
1	432	1087865	0916	
1	247	1232635	0916	
1	273	2756167	0916	
1	273	1129195	0916	
1	524	2780182	0916	
1	524	2700074	0916	
1	524	2603314	0916	
1	524	2907836	0916	
1	273	2688679	0916	
1	261	1495897	0916	
1	261	1493162	0916	
1	414	2756263	0916	
1	97	1254911	0916	
1	97	1424169	0916	
1	97	1068347	0916	
1	97	1037099	0916	
1	168	1104622	0916	
1	168	2844735	0916	
1	168	2791183	0916	
1	168	1243158	0916	
1	168	1390421	0916	
1	467	2918836	0916	
1	467	2836230	0916	
1	377	1256701	0916	
1	377	2855435	0916	
1	263	1034260	0916	
1	354	2886656	0916	
1	354	2756217	0916	
1	354	2710585	0916	
1	5	2766088	0916	
1	5	1034261	0916	
1	37	1054108	0916	
1	290	1490926	0916	
1	290	2586781	0916	
1	290	2831733	0916	
1	354	2915391	0916	
1	262	1119645	0916	
1	457	1118369	0916	
1	457	2690951	0916	
1	443	2732491	0916	
1	443	1561610	0916	
1	443	1479144	0916	
1	443	2577208	0916	
1	443	2598350	0916	
1	443	2650660	0916	
1	443	1557985	0916	
1	443	2643412	0916	
1	457	2670217	0916	
1	511	1559436	0916	
1	511	2858916	0916	
1	280	2856558	0916	
1	23	1503408	0916	
1	245	1500577	0916	
1	245	2594127	0916	
1	499	1390098	0916	
1	499	1382153	0916	
1	244	1229330	0916	
1	369	2808459	0916	
1	369	1367434	0916	
1	222	1417744	0916	
1	222	2851703	0916	
1	222	2859894	0916	
1	501	1491336	0916	
1	375	2627597	0916	
1	375	2795473	0916	
1	244	1200565	0916	
1	32	1336318	0916	
1	475	1404315	0916	
1	242	1433324	0916	
1	475	1159906	0916	
1	225	1432665	0916	
1	225	1365441	0916	
1	225	1479584	0916	
1	211	2236790	0916	
1	484	2236789	0916	
1	532	1265627	0916	
1	53	2725377	0916	
1	172	2657413	0916	
1	172	1550883	0916	
1	219	2911593	0916	
1	422	1553257	0916	
1	422	2823435	0916	
1	422	1439395	0916	
1	422	2763781	0916	
1	422	1558836	0916	
1	422	2927103	0916	
1	422	1052352	0916	
1	422	1148697	0916	
1	523	1305774	0916	
1	523	2763770	0916	
1	523	1363693	0916	
1	523	2877068	0916	
1	523	2790244	0916	
1	143	2201749	0916	
1	143	1382081	0916	
1	295	2747823	0916	
1	295	1532620	0916	
1	384	2849715	0916	
1	384	2844400	0916	
1	331	2907897	0916	
1	384	2842178	0916	
1	331	2762154	0916	
1	344	2765462	0916	
1	344	1258562	0916	
1	344	2719387	0916	
1	40	2892866	0916	
1	40	2804327	0916	
1	395	1056114	0916	
1	200	2794867	0916	
1	391	1140253	0916	
1	147	2924182	0916	
1	147	1011453	0916	
1	147	1011453	0916	
1	147	1011453	0916	
1	147	1449288	0916	
1	326	1509986	0916	
1	326	1401522	0916	
1	11	2836664	0916	
1	357	2699108	0916	
1	357	2924236	0916	
1	357	2668255	0916	
1	357	1256402	0916	
1	346	2784863	0916	
1	346	2784858	0916	
1	519	1298644	0916	
1	139	1388398	0916	
1	519	2806227	0916	
1	266	2580801	0916	
1	266	2690162	0916	
1	76	1000232	0916	
1	76	1000232	0916	
1	76	1000232	0916	
1	76	1000232	0916	
1	76	1000232	0916	
1	224	1560631	0916	
1	224	1320215	0916	
1	224	1569446	0916	
1	224	1544578	0916	
1	269	1278930	0916	
1	269	1280880	0916	
1	269	1066959	0916	
1	364	2765067	0916	
1	364	2921171	0916	
1	77	2836190	0916	
1	77	2659467	0916	
1	165	2632987	0916	
1	165	1564751	0916	
1	288	1184845	0916	
1	172	1438038	0916	
1	358	1384483	0916	
1	380	1315966	0916	
1	380	1315966	0916	
1	497	1343143	0916	
1	497	1370031	0916	
1	497	2835673	0916	
1	497	1545505	0916	
1	222	1163766	0916	
1	222	2671465	0916	
1	484	2867600	0916	
1	484	2911501	0916	
1	326	2704943	0916	
1	222	2704944	0916	
1	495	1392506	0916	
1	494	2565422	0916	
1	487	2692457	0916	
1	518	2784620	0916	
1	426	2923683	0916	
1	59	2757031	0916	
1	59	2819840	0916	
1	155	1383964	0916	
1	155	1402761	0916	
1	155	1380134	0916	
1	64	1504198	0916	
1	512	1527867	0916	
1	292	1437085	0916	
1	361	1559858	0916	
1	90	2652289	0916	
1	90	2870935	0916	
1	205	2908289	0916	
1	503	1408484	0916	
1	503	1266663	0916	
1	137	2629348	0916	
1	137	1315995	0916	
1	90	2831370	0916	
1	451	2592598	0916	
1	502	1471517	0916	
1	145	1414611	0916	
1	131	1183843	0916	
1	93	2613289	0916	
1	93	1361407	0916	
1	175	2237720	0916	
1	403	1084096	0916	
1	357	1484952	0916	
1	357	2869558	0916	
1	403	1323542	0916	
1	422	2820712	0916	
1	422	1392228	0916	
1	422	2883038	0916	
1	422	2824991	0916	
1	422	1174217	0916	
1	422	1270935	0916	
1	422	2907071	0916	
1	422	2838032	0916	
1	291	1287959	0916	
1	249	2874965	0916	
1	249	1032805	0916	
1	129	2944894	0916	
1	291	1312608	0916	
1	513	1032834	0916	
1	28	2877723	0916	
1	20	2595146	0916	
1	20	1289062	0916	
1	495	1103338	0917	
1	495	1306766	0917	
1	495	2695993	0917	
1	462	1306762	0917	
1	462	1531460	0917	
1	462	2890302	0917	
1	462	2754276	0917	
1	525	1394116	0917	
1	525	2800795	0917	
1	462	2217602	0917	
1	462	1026124	0917	
1	462	1319988	0917	
1	495	1417145	0917	
1	495	1319989	0917	
1	495	1199697	0917	
1	297	1517428	0917	
1	297	2896523	0917	
1	297	1523375	0917	
1	207	2925636	0917	
1	207	1987153	0917	
1	140	1361463	0917	
1	113	1353468	0917	
1	113	2100077	0917	
1	113	1350414	0917	
1	113	1527909	0917	
1	423	1361468	0917	
1	423	2861601	0917	
1	423	1027528	0917	
1	326	2782090	0917	
1	326	2799850	0917	
1	326	2754272	0917	
1	113	2099833	0917	
1	197	2707336	0917	
1	197	1498398	0917	
1	197	2571956	0917	
1	197	2036570	0917	
1	371	1321807	0917	
1	197	1078466	0917	
1	371	1459941	0917	
1	505	1321808	0917	
1	505	1118367	0917	
1	140	2113620	0917	
1	140	2113619	0917	
1	140	2238407	0917	
1	95	1266644	0917	
1	207	2670216	0917	
1	505	2770805	0917	
1	505	2684378	0917	
1	357	1093809	0917	
1	357	1458600	0917	
1	357	1320058	0917	
1	357	1339023	0917	
1	357	2845585	0917	
1	357	1527907	0917	
1	58	1459942	0917	
1	58	1118366	0917	
1	58	2756190	0917	
1	58	1010632	0917	
1	58	1010632	0917	
1	58	1010632	0917	
1	68	2715755	0917	
1	68	2715754	0917	
1	68	2715757	0917	
1	68	2756742	0917	
1	279	1109168	0917	
1	279	2757597	0917	
1	239	1006135	0917	
1	239	1006135	0917	
1	239	1006135	0917	
1	239	2642596	0917	
1	239	1499652	0917	
1	239	1337642	0917	
1	239	2666116	0917	
1	450	1569766	0917	
1	450	1442341	0917	
1	450	1458572	0917	
1	450	1569322	0917	
1	450	1460772	0917	
1	450	1471895	0917	
1	58	2690952	0917	
1	49	2735868	0917	
1	101	2931440	0917	
1	101	2877429	0917	
1	101	1495671	0917	
1	49	2933130	0917	
1	299	1123358	0917	
1	299	2930216	0917	
1	299	2932405	0917	
1	299	2200128	0917	
1	299	1328773	0917	
1	299	1355681	0917	
1	299	2798051	0917	
1	299	1157578	0917	
1	299	1157578	0917	
1	362	1320163	0917	
1	362	1380581	0917	
1	362	2666114	0917	
1	362	2684592	0917	
1	299	2635864	0917	
1	272	1057486	0917	
1	272	2706876	0917	
1	272	2219519	0917	
1	272	1160387	0917	
1	172	1093573	0917	
1	172	1471833	0917	
1	455	2697892	0917	
1	455	2684590	0917	
1	172	1340883	0917	
1	172	1282727	0917	
1	172	1301374	0917	
1	172	1125837	0917	
1	359	2626217	0917	
1	359	2785056	0917	
1	359	1380577	0917	
1	240	2766091	0917	
1	240	1573166	0917	
1	200	1122380	0917	
1	200	1120901	0917	
1	176	2866337	0917	
1	16	1337972	0917	
1	16	1479793	0917	
1	200	1985974	0917	
1	200	2013211	0917	
1	271	2695226	0917	
1	271	1524132	0917	
1	398	2865983	0917	
1	398	1120902	0917	
1	398	1159289	0917	
1	62	2756232	0917	
1	62	1122378	0917	
1	416	1488743	0917	
1	416	1435247	0917	
1	199	2932049	0917	
1	199	1088056	0917	
1	188	2886655	0917	
1	188	2642599	0917	
1	188	2925637	0917	
1	260	2885281	0917	
1	260	2834866	0917	
1	150	2196352	0917	
1	113	2924645	0917	
1	113	1157574	0917	
1	432	1243170	0917	
1	432	2662102	0917	
1	432	1318105	0917	
1	134	2571476	0917	
1	16	1287570	0917	
1	16	1008957	0917	
1	16	1008957	0917	
1	16	1008957	0917	
1	210	2722176	0917	
1	210	2635184	0917	
1	339	1373056	0917	
1	216	1004937	0917	
1	216	1004937	0917	
1	216	1004937	0917	
1	216	1544580	0917	
1	216	2869514	0917	
1	312	2689973	0917	
1	312	1004935	0917	
1	312	1004935	0917	
1	312	1004935	0917	
1	185	2766521	0918	
1	185	1137027	0918	
1	185	1313451	0918	
1	533	1451263	0918	
1	5	2651927	0918	
1	533	1180416	0918	
1	533	2604718	0918	
1	354	1458599	0918	
1	354	1458598	0918	
1	412	2596498	0918	
1	412	1442041	0918	
1	365	2720877	0918	
1	108	1458605	0918	
1	108	1278252	0918	
1	108	1458341	0918	
1	365	1278296	0918	
1	26	2908831	0918	
1	26	1458604	0918	
1	75	2209221	0918	
1	75	2885305	0918	
1	75	2707338	0918	
1	143	2214317	0918	
1	143	2224062	0918	
1	143	2700367	0918	
1	421	1327383	0918	
1	421	1458597	0918	
1	87	1300777	0918	
1	171	1982610	0918	
1	171	1170838	0918	
1	171	1321729	0918	
1	434	1092490	0918	
1	394	1242051	0918	
1	306	1331676	0918	
1	394	1258695	0918	
1	484	2685693	0918	
1	484	2716411	0918	
1	484	1295056	0918	
1	362	2925621	0918	
1	286	1348706	0918	
1	286	2790981	0918	
1	320	1273089	0918	
1	97	1348036	0918	
1	97	1507000	0918	
1	388	1348034	0918	
1	388	1507001	0918	
1	25	1348035	0918	
1	25	1506999	0918	
1	157	2842195	0918	
1	157	1456496	0918	
1	482	2665834	0918	
1	482	1124951	0918	
1	482	2605669	0918	
1	316	2921029	0918	
1	234	1384484	0918	
1	119	2653486	0918	
1	271	2883677	0918	
1	15	1157575	0918	
1	428	1406529	0918	
1	260	1104620	0918	
1	41	2667081	0918	
1	41	1030115	0918	
1	118	2887849	0918	
1	118	2671917	0918	
1	190	1019252	0918	
1	53	2647401	0918	
1	53	2862355	0918	
1	430	2235945	0918	
1	430	1289898	0918	
1	7	2862358	0918	
1	7	2647402	0918	
1	7	1159285	0918	
1	189	1162693	0918	
1	189	1409603	0918	
1	25	2592525	0918	
1	189	1409636	0918	
1	204	2803502	0918	
1	119	2036524	0918	
1	119	2208360	0918	
1	119	2599560	0918	
1	119	2202315	0918	
1	61	1396419	0918	
1	61	2024754	0918	
1	130	1145965	0918	
1	130	1030525	0918	
1	383	2857616	0918	
1	388	2675845	0918	
1	388	2215317	0918	
1	388	1063211	0918	
1	388	1063252	0918	
1	119	2181124	0918	
1	119	2571736	0918	
1	119	1111385	0918	
1	119	2641525	0918	
1	119	2912367	0918	
1	405	2215678	0918	
1	405	2815102	0918	
1	229	1506348	0918	
1	274	1459117	0918	
1	274	2653301	0918	
1	167	1342655	0918	
1	167	2765067	0918	
1	68	1469979	0918	
1	68	1012199	0918	
1	68	1012199	0918	
1	68	1012199	0918	
1	71	1099208	0918	
1	71	2925316	0918	
1	467	2606522	0918	
1	467	2870804	0918	
1	216	1434567	0918	
1	216	1421127	0918	
1	468	2767757	0918	
1	467	1253715	0918	
1	455	2777096	0918	
1	455	1564926	0918	
1	455	1237838	0918	
1	455	2914150	0918	
1	16	2820898	0918	
1	50	1557749	0918	
1	50	1356649	0918	
1	345	1292151	0918	
1	345	1552618	0918	
1	357	1295055	0918	
1	258	2229806	0918	
1	139	1564016	0918	
1	505	2811661	0918	
1	505	2715901	0918	
1	505	1294004	0918	
1	505	2852831	0918	
1	291	1345002	0918	
1	364	1348539	0918	
1	21	2789469	0918	
1	9	1270604	0918	
1	9	2884653	0918	
1	334	1143894	0919	
1	245	1407387	0919	
1	245	1189667	0919	
1	466	2709977	0919	
1	346	2710871	0919	
1	466	2659810	0919	
1	207	2019489	0919	
1	316	2661057	0919	
1	146	2721250	0919	
1	146	1552276	0919	
1	146	2235246	0919	
1	333	2796954	0919	
1	333	2719668	0919	
1	146	2708974	0919	
1	146	2685184	0919	
1	146	1163356	0919	
1	418	1290779	0919	
1	418	1487819	0919	
1	297	2932377	0919	
1	236	1388165	0919	
1	240	1423155	0919	
1	240	1252580	0919	
1	483	2886875	0919	
1	483	1463897	0919	
1	483	2890705	0919	
1	219	2647400	0919	
1	219	2221120	0919	
1	219	1320061	0919	
1	146	1552276	0919	
1	146	2235246	0919	
1	146	2721250	0919	
1	146	2708974	0919	
1	437	1036555	0919	
1	437	2686671	0919	
1	437	2756235	0919	
1	437	1076219	0919	
1	13	1559537	0919	
1	146	2878338	0919	
1	13	1559725	0919	
1	146	1475191	0919	
1	224	1522162	0919	
1	413	2684593	0919	
1	413	2756233	0919	
1	413	1170213	0919	
1	355	2883343	0919	
1	10	1187236	0919	
1	10	2647399	0919	
1	225	2897641	0919	
1	225	1348529	0919	
1	225	1152351	0919	
1	225	2597685	0919	
1	225	2598625	0919	
1	67	2630714	0919	
1	280	2841022	0919	
1	280	2795195	0919	
1	536	2631448	0919	
1	219	1428103	0919	
1	219	1428107	0919	
1	1	1517702	0919	
1	1	2747454	0919	
1	346	2695634	0919	
1	219	2588863	0919	
1	157	1248014	0919	
1	131	1421660	0919	
1	131	2845451	0919	
1	131	1308677	0919	
1	413	1147307	0919	
1	413	1330518	0919	
1	213	1265385	0919	
1	519	2716111	0919	
1	145	1423646	0919	
1	145	1386177	0919	
1	415	2913097	0919	
1	468	1452312	0919	
1	468	2702182	0919	
1	411	1391556	0919	
1	411	1157122	0919	
1	411	1440447	0919	
1	411	1082603	0919	
1	77	2870979	0919	
1	385	1440446	0919	
1	385	1157119	0919	
1	385	1434130	0919	
1	498	1263318	0919	
1	345	2692616	0919	
1	345	1499946	0919	
1	311	2019483	0919	
1	358	2807179	0919	
1	106	1365295	0919	
1	106	1436297	0919	
1	341	1131639	0919	
1	341	1148791	0919	
1	341	2856872	0919	
1	291	1370638	0919	
1	94	1281134	0919	
1	94	1368616	0919	
1	94	2811107	0919	
1	45	2019484	0919	
1	303	1448856	0919	
1	492	1489739	0919	
1	492	2741393	0919	
1	79	2807694	0919	
1	79	1475029	0919	
1	20	1028196	0919	
1	345	1113485	0919	
1	345	2920371	0919	
1	364	2920372	0919	
1	364	2925333	0919	
1	364	1113479	0919	
1	19	2011812	0919	
1	352	2827987	0919	
1	352	1098211	0919	
1	352	1981203	0919	
1	352	2779304	0919	
1	506	2799438	0919	
1	506	1445962	0919	
1	150	2764569	0919	
1	19	1296174	0919	
1	169	2566842	0919	
1	8	2566002	0919	
1	122	2785055	0919	
1	122	1159364	0919	
1	327	1307669	0919	
1	327	2214801	0919	
1	28	1018997	0919	
1	28	1018997	0919	
1	510	2936876	0919	
1	510	2931395	0919	
1	28	2890641	0919	
1	16	1278139	0919	
1	23	1104827	0919	
1	23	1247868	0919	
1	23	2691331	0919	
1	23	1032506	0919	
1	127	1355921	0919	
1	127	1434940	0919	
1	9	1330513	0919	
1	355	2662641	0919	
1	355	2697364	0919	
1	239	1126228	0919	
1	332	1053144	0919	
1	224	2226035	0919	
1	341	2223257	0919	
1	219	1453257	0919	
1	219	2721217	0919	
1	341	1986168	0919	
1	16	2864494	0919	
1	341	2223259	0919	
1	364	2721216	0919	
1	219	2591262	0919	
1	134	2696107	0919	
1	364	1197518	0919	
1	134	2893595	0919	
1	134	1382930	0919	
1	16	2646758	0919	
1	98	2873779	0919	
1	197	2789535	0919	
1	211	1458603	0920	
1	211	2710583	0920	
1	357	1187383	0920	
1	484	1434145	0920	
1	483	2767534	0920	
1	483	1510401	0920	
1	237	2853452	0920	
1	237	2604087	0920	
1	237	2598624	0920	
1	146	2913631	0920	
1	15	1036556	0920	
1	15	2756234	0920	
1	15	2924647	0920	
1	306	2821169	0920	
1	117	2857962	0920	
1	51	1295554	0920	
1	488	2826019	0920	
1	21	1380578	0920	
1	21	1435405	0920	
1	21	1110945	0920	
1	21	1320161	0920	
1	21	2713243	0920	
1	403	1401157	0920	
1	21	2862357	0920	
1	21	2684592	0920	
1	21	1159286	0920	
1	389	2684967	0920	
1	120	1049683	0920	
1	213	1038006	0920	
1	8	2203960	0920	
1	8	1349361	0920	
1	8	1159112	0920	
1	8	1098651	0920	
1	361	1281439	0920	
1	361	2853619	0920	
1	361	1572281	0920	
1	361	1472484	0920	
1	122	1177891	0920	
1	122	2696110	0920	
1	122	2632982	0920	
1	122	1019349	0920	
1	122	2716383	0920	
1	122	1124321	0920	
1	344	1540701	0920	
1	344	2828603	0920	
1	122	1250124	0920	
1	32	1458250	0920	
1	32	1530170	0920	
1	461	1174688	0920	
1	461	2829208	0920	
1	495	2749150	0920	
1	150	2591641	0920	
1	150	2686197	0920	
1	497	1110041	0920	
1	513	2626948	0920	
1	65	2829860	0920	
1	65	1444340	0920	
1	463	2564086	0920	
1	463	2563612	0920	
1	463	2787909	0920	
1	273	2634792	0920	
1	273	2201023	0920	
1	273	2718853	0920	
1	273	1007259	0920	
1	273	1007259	0920	
1	273	1007259	0920	
1	273	1102126	0920	
1	273	1088228	0920	
1	273	1469192	0920	
1	497	2925425	0920	
1	497	1190337	0920	
1	497	1493491	0920	
1	524	2628811	0920	
1	524	2645171	0920	
1	524	2677017	0920	
1	524	2677007	0920	
1	2	1158743	0920	
1	2	1524816	0920	
1	2	1075612	0920	
1	2	1384740	0920	
1	2	2633354	0920	
1	2	1113605	0920	
1	1	1100956	0920	
1	1	2745023	0920	
1	508	2928616	0920	
1	380	2856475	0920	
1	380	2856472	0920	
1	380	1019921	0920	
1	380	2845586	0920	
1	373	1530348	0920	
1	373	1108581	0920	
1	373	2580802	0920	
1	373	2921531	0920	
1	115	1569462	0920	
1	115	2921533	0920	
1	115	2856474	0920	
1	115	2226033	0920	
1	115	2932046	0920	
1	115	1018060	0920	
1	115	1018060	0920	
1	15	1152247	0920	
1	15	2572670	0920	
1	15	1451574	0920	
1	428	1451578	0920	
1	15	1451574	0920	
1	15	1152247	0920	
1	461	2571776	0920	
1	461	1519843	0920	
1	359	1986511	0920	
1	19	1142362	0920	
1	19	2642598	0920	
1	359	2580500	0920	
1	19	2783144	0920	
1	359	2931438	0920	
1	528	1018058	0920	
1	528	1018058	0920	
1	311	2227227	0920	
1	148	1000392	0920	
1	148	1000392	0920	
1	148	1000392	0920	
1	148	1088671	0920	
1	291	1088674	0920	
1	291	2704122	0920	
1	405	1336354	0920	
1	405	2712895	0920	
1	405	2925597	0920	
1	405	2221162	0920	
1	405	1337325	0920	
1	405	1465277	0920	
1	25	1985854	0920	
1	247	1143641	0920	
1	247	1535535	0920	
1	225	1327385	0920	
1	225	1566361	0920	
1	225	1190305	0920	
1	409	2722287	0920	
1	409	1550239	0920	
1	132	1404886	0920	
1	132	2663355	0920	
1	132	1345001	0920	
1	470	1569464	0920	
1	97	2711443	0920	
1	536	2859923	0920	
