学期	学号	排名
1	327	288	
1	328	14	
1	329	165	
1	330	465	
1	331	308	
1	332	433	
1	333	347	
1	334	238	
1	335	481	
1	358	117	
1	338	304	
1	339	100	
1	426	132	
1	341	84	
1	342	337	
1	343	180	
1	344	138	
1	437	183	
1	346	176	
1	347	247	
1	348	482	
1	349	119	
1	350	443	
1	351	218	
1	352	409	
1	353	217	
1	354	346	
1	355	428	
1	356	305	
1	357	201	
1	359	257	
1	263	390	
1	360	503	
1	361	470	
1	362	142	
1	508	122	
1	364	182	
1	365	4	
1	366	61	
1	367	256	
1	368	239	
1	369	291	
1	370	169	
1	371	235	
1	372	25	
1	373	181	
1	374	328	
1	375	521	
1	376	491	
1	377	233	
1	378	312	
1	379	463	
1	380	287	
1	381	193	
1	382	498	
1	383	40	
1	384	134	
1	385	79	
1	386	455	
1	387	505	
1	388	28	
1	390	314	
1	391	72	
1	392	266	
1	393	394	
1	394	81	
1	148	411	
1	396	471	
1	397	127	
1	229	114	
1	399	349	
1	400	417	
1	401	352	
1	275	223	
1	403	260	
1	264	376	
1	404	510	
1	405	82	
1	406	277	
1	337	190	
1	408	46	
1	409	267	
1	410	106	
1	411	467	
1	412	41	
1	413	102	
1	414	335	
1	415	77	
1	416	343	
1	417	519	
1	418	229	
1	419	263	
1	420	324	
1	421	499	
1	422	292	
1	423	154	
1	424	137	
1	425	149	
1	340	92	
1	427	537	
1	428	197	
1	429	397	
1	430	194	
1	431	418	
1	432	366	
1	433	316	
1	434	303	
1	435	300	
1	436	415	
1	345	148	
1	438	336	
1	439	507	
1	251	497	
1	440	458	
1	441	450	
1	442	186	
1	443	526	
1	444	472	
1	445	509	
1	446	26	
1	447	500	
1	448	523	
1	449	121	
1	450	276	
1	451	331	
1	452	318	
1	453	485	
1	455	501	
1	456	462	
1	457	107	
1	458	261	
1	459	109	
1	460	75	
1	461	244	
1	462	97	
1	463	488	
1	464	453	
1	88	226	
1	466	234	
1	467	145	
1	468	448	
1	122	185	
1	470	191	
1	471	354	
1	131	20	
1	473	3	
1	474	480	
1	475	91	
1	476	177	
1	477	83	
1	478	130	
1	479	344	
1	480	333	
1	481	98	
1	191	123	
1	527	199	
1	484	275	
1	219	386	
1	486	511	
1	487	222	
1	488	297	
1	489	280	
1	490	17	
1	491	62	
1	492	115	
1	493	468	
1	494	159	
1	495	215	
1	496	160	
1	497	213	
1	323	156	
1	499	371	
1	500	68	
1	501	424	
1	259	370	
1	503	47	
1	504	492	
1	505	221	
1	506	155	
1	507	93	
1	363	272	
1	183	369	
1	509	449	
1	510	236	
1	511	432	
1	512	345	
1	513	7	
1	514	273	
1	515	139	
1	516	522	
1	517	486	
1	518	258	
1	519	294	
1	520	446	
1	81	444	
1	522	110	
1	523	367	
1	524	147	
1	525	359	
1	526	534	
1	483	319	
1	169	357	
1	530	253	
1	531	404	
1	532	270	
1	533	87	
1	534	111	
1	535	393	
1	537	401	
1	538	436	
3	1	258	
3	2	488	
3	3	364	
3	4	352	
3	5	133	
3	157	506	
3	6	266	
3	7	355	
3	8	74	
3	9	409	
3	10	339	
3	11	226	
3	12	231	
3	13	480	
3	14	383	
3	15	117	
3	16	193	
3	17	343	
3	18	3	
3	19	97	
3	389	28	
3	21	235	
3	22	198	
3	23	413	
3	24	237	
3	25	366	
3	26	18	
3	27	185	
3	28	271	
3	29	320	
3	30	300	
3	31	265	
3	32	318	
3	33	446	
3	34	424	
3	35	267	
3	36	114	
3	37	44	
3	38	330	
3	39	407	
3	40	395	
3	41	4	
3	42	213	
3	43	393	
3	44	196	
3	45	402	
3	73	406	
3	47	299	
3	48	368	
3	49	9	
3	50	379	
3	51	29	
3	52	429	
3	53	268	
3	54	419	
3	55	518	
3	56	11	
3	57	136	
3	58	248	
3	59	134	
3	61	264	
3	62	152	
3	63	208	
3	64	496	
3	65	486	
3	66	335	
3	67	303	
3	68	428	
3	69	78	
3	70	359	
3	71	276	
3	72	388	
3	336	375	
3	88	190	
3	75	180	
3	279	398	
3	77	105	
3	78	156	
3	79	72	
3	80	353	
3	81	308	
3	82	212	
3	83	507	
3	84	369	
3	85	520	
3	86	12	
3	87	37	
3	89	495	
3	90	457	
3	91	376	
3	92	453	
3	93	504	
3	94	326	
3	398	442	
3	284	531	
3	96	333	
3	97	316	
3	98	172	
3	99	73	
3	100	293	
3	101	141	
3	102	423	
3	103	532	
3	104	337	
3	106	173	
3	107	311	
3	108	367	
3	109	460	
3	110	372	
3	111	458	
3	112	475	
3	113	41	
3	114	25	
3	372	22	
3	116	142	
3	117	296	
3	118	177	
3	119	474	
3	120	88	
3	121	32	
3	469	232	
3	123	485	
3	124	449	
3	217	174	
3	126	365	
3	127	64	
3	128	403	
3	249	338	
3	130	214	
3	256	93	
3	132	7	
3	133	95	
3	134	165	
3	135	101	
3	300	106	
3	137	52	
3	138	324	
3	139	149	
3	140	126	
3	141	199	
3	142	108	
3	143	129	
3	144	159	
3	145	87	
3	146	204	
3	147	288	
3	395	99	
3	149	80	
3	150	15	
3	151	131	
3	152	46	
3	153	57	
3	154	528	
3	155	151	
3	156	328	
3	20	273	
3	158	437	
3	159	10	
3	160	389	
3	161	269	
3	162	464	
3	163	487	
3	164	48	
3	165	53	
3	166	321	
3	167	344	
3	168	257	
3	528	38	
3	170	434	
3	171	17	
3	172	332	
3	173	238	
3	174	468	
3	175	216	
3	176	54	
3	177	524	
3	178	412	
3	179	109	
3	180	323	
3	181	307	
3	182	334	
3	74	279	
3	184	370	
3	185	455	
3	186	96	
3	187	363	
3	188	239	
3	189	65	
3	190	30	
3	482	92	
3	192	489	
3	193	501	
3	194	472	
3	195	325	
3	196	508	
3	197	249	
3	198	484	
3	199	416	
3	200	118	
3	201	494	
3	202	535	
3	203	394	
3	204	340	
3	205	8	
3	206	169	
3	207	81	
3	208	82	
3	209	66	
3	210	462	
3	211	509	
3	212	27	
3	213	186	
3	214	220	
3	289	128	
3	216	351	
3	125	534	
3	218	47	
3	485	378	
3	220	492	
3	221	497	
3	222	236	
3	223	36	
3	224	24	
3	225	382	
3	226	192	
3	227	471	
3	228	191	
3	230	281	
3	231	481	
3	232	184	
3	375	404	
3	234	158	
3	235	86	
3	236	482	
3	237	16	
3	238	146	
3	239	171	
3	240	256	
3	241	286	
3	242	112	
3	308	227	
3	244	154	
3	245	43	
3	246	59	
3	247	13	
3	248	451	
3	129	401	
3	250	360	
3	472	483	
3	252	240	
3	253	361	
3	254	55	
3	255	435	
3	257	247	
3	258	63	
3	259	137	
3	402	473	
3	260	209	
3	261	139	
3	513	26	
3	529	31	
3	536	217	
3	265	415	
3	266	120	
3	267	499	
3	268	62	
3	269	157	
3	270	91	
3	271	440	
3	272	358	
3	273	241	
3	274	411	
3	60	50	
3	276	345	
3	277	452	
3	278	538	
3	76	77	
3	280	433	
3	281	181	
3	282	160	
3	283	522	
3	95	178	
3	285	245	
3	286	263	
3	287	392	
3	288	206	
3	215	201	
3	290	514	
3	377	166	
3	291	67	
3	292	150	
3	293	40	
3	294	456	
3	295	182	
3	296	479	
3	297	79	
3	298	124	
3	299	275	
3	136	306	
3	301	315	
3	302	336	
3	303	34	
3	304	465	
3	305	527	
3	306	188	
3	307	447	
3	243	162	
3	309	254	
3	310	503	
3	311	309	
3	312	521	
3	313	61	
3	314	450	
3	315	469	
3	316	301	
3	317	400	
3	318	132	
3	319	153	
3	320	430	
3	342	94	
3	322	170	
3	323	329	
3	324	144	
3	325	396	
3	361	420	
3	46	410	
3	327	511	
3	328	6	
3	329	60	
3	330	405	
3	331	272	
3	500	56	
3	333	491	
3	334	221	
3	335	498	
3	337	536	
3	358	175	
3	338	390	
3	339	58	
3	340	194	
3	341	246	
3	321	218	
3	343	302	
3	344	75	
3	437	297	
3	346	234	
3	347	155	
3	348	350	
3	349	113	
3	350	467	
3	351	426	
3	352	386	
3	353	373	
3	354	347	
3	355	362	
3	356	122	
3	357	233	
3	359	100	
3	263	530	
3	360	525	
3	326	421	
3	362	127	
3	508	68	
3	364	119	
3	365	21	
3	366	444	
3	367	223	
3	368	399	
3	369	285	
3	370	163	
3	371	85	
3	115	305	
3	373	270	
3	374	255	
3	233	517	
3	376	513	
3	105	287	
3	378	427	
3	379	438	
3	380	228	
3	381	377	
3	382	505	
3	383	1	
3	384	203	
3	385	83	
3	386	313	
3	387	476	
3	388	39	
3	390	183	
3	391	19	
3	392	441	
3	393	384	
3	394	348	
3	148	526	
3	396	251	
3	397	125	
3	229	341	
3	399	408	
3	400	284	
3	401	294	
3	275	252	
3	403	243	
3	264	515	
3	404	448	
3	405	121	
3	406	225	
3	407	319	
3	408	69	
3	409	148	
3	410	342	
3	411	478	
3	412	45	
3	413	161	
3	414	310	
3	415	102	
3	416	290	
3	417	500	
3	418	250	
3	419	356	
3	420	304	
3	421	317	
3	422	253	
3	423	51	
3	424	168	
3	425	42	
3	426	187	
3	427	537	
3	428	107	
3	429	431	
3	430	230	
3	431	425	
3	432	202	
3	433	374	
3	434	260	
3	435	116	
3	436	207	
3	345	70	
3	497	259	
3	439	533	
3	251	519	
3	440	331	
3	441	197	
3	442	195	
3	443	278	
3	444	466	
3	445	439	
3	446	23	
3	447	529	
3	448	432	
3	449	111	
3	450	110	
3	451	210	
3	452	229	
3	453	219	
3	454	391	
3	455	443	
3	456	346	
3	457	215	
3	458	167	
3	459	277	
3	460	35	
3	461	244	
3	462	76	
3	463	510	
3	464	490	
3	465	14	
3	466	312	
3	467	222	
3	468	516	
3	122	115	
3	470	289	
3	471	283	
3	131	20	
3	473	5	
3	474	322	
3	475	357	
3	476	90	
3	477	104	
3	478	84	
3	479	274	
3	480	445	
3	481	49	
3	191	147	
3	483	380	
3	484	224	
3	219	349	
3	486	371	
3	487	418	
3	488	381	
3	489	295	
3	490	2	
3	491	176	
3	492	98	
3	493	298	
3	494	130	
3	495	211	
3	496	261	
3	438	189	
3	498	200	
3	499	414	
3	332	314	
3	501	354	
3	502	454	
3	503	33	
3	504	292	
3	505	123	
3	506	242	
3	507	205	
3	363	103	
3	183	397	
3	509	463	
3	510	262	
3	511	422	
3	512	461	
3	262	436	
3	514	282	
3	515	179	
3	516	493	
3	517	512	
3	518	385	
3	519	470	
3	520	459	
3	521	327	
3	522	140	
3	523	143	
3	524	135	
3	525	164	
3	526	523	
3	527	145	
3	169	280	
3	530	291	
3	531	417	
3	532	138	
3	533	89	
3	534	71	
3	535	477	
3	537	387	
3	538	502	
2	1	209	
2	2	469	
2	3	386	
2	4	226	
2	5	191	
2	6	233	
2	7	336	
2	8	103	
2	9	264	
2	10	456	
2	11	223	
2	12	316	
2	13	397	
2	14	364	
2	15	80	
2	16	195	
2	17	322	
2	18	2	
2	19	155	
2	389	53	
2	21	319	
2	22	269	
2	23	423	
2	24	167	
2	25	301	
2	26	1	
2	27	127	
2	28	335	
2	29	241	
2	30	367	
2	31	194	
2	32	337	
2	33	516	
2	34	289	
2	35	398	
2	36	62	
2	37	48	
2	38	244	
2	39	268	
2	40	328	
2	41	4	
2	42	357	
2	43	368	
2	44	218	
2	45	447	
2	46	446	
2	47	326	
2	48	253	
2	339	51	
2	50	293	
2	51	16	
2	52	491	
2	53	294	
2	54	438	
2	55	474	
2	56	14	
2	57	85	
2	58	216	
2	59	137	
2	61	239	
2	62	69	
2	63	278	
2	64	470	
2	65	497	
2	66	424	
2	67	399	
2	68	461	
2	69	92	
2	70	401	
2	71	201	
2	72	406	
2	73	370	
2	88	280	
2	75	222	
2	279	454	
2	77	262	
2	78	173	
2	79	232	
2	80	234	
2	521	362	
2	82	290	
2	83	531	
2	84	348	
2	85	523	
2	86	32	
2	87	26	
2	89	468	
2	90	383	
2	91	410	
2	92	431	
2	93	467	
2	94	147	
2	398	533	
2	284	522	
2	96	296	
2	97	449	
2	98	315	
2	99	44	
2	100	178	
2	101	245	
2	102	462	
2	103	535	
2	104	375	
2	105	371	
2	106	213	
2	107	395	
2	108	332	
2	109	476	
2	110	330	
2	111	150	
2	112	351	
2	113	34	
2	114	8	
2	115	378	
2	116	274	
2	117	256	
2	118	102	
2	119	475	
2	120	140	
2	121	35	
2	469	334	
2	123	520	
2	124	444	
2	217	193	
2	126	408	
2	127	122	
2	128	302	
2	129	369	
2	130	161	
2	256	52	
2	132	47	
2	133	79	
2	134	175	
2	135	91	
2	300	157	
2	137	119	
2	138	263	
2	139	145	
2	140	179	
2	141	108	
2	142	60	
2	143	40	
2	144	156	
2	145	68	
2	146	172	
2	147	325	
2	395	82	
2	149	295	
2	150	21	
2	151	31	
2	152	181	
2	153	27	
2	154	528	
2	155	162	
2	156	372	
2	20	355	
2	158	409	
2	159	20	
2	160	439	
2	161	356	
2	162	459	
2	163	359	
2	164	90	
2	165	116	
2	166	190	
2	167	411	
2	168	164	
2	528	10	
2	170	404	
2	171	6	
2	172	317	
2	173	342	
2	174	495	
2	175	272	
2	176	158	
2	177	527	
2	178	308	
2	179	128	
2	180	417	
2	181	265	
2	182	400	
2	183	349	
2	184	283	
2	185	484	
2	186	235	
2	187	418	
2	188	182	
2	189	41	
2	190	13	
2	191	93	
2	192	525	
2	193	537	
2	194	487	
2	195	434	
2	196	455	
2	197	210	
2	198	489	
2	199	412	
2	200	77	
2	201	363	
2	202	529	
2	203	353	
2	204	403	
2	205	43	
2	206	143	
2	207	166	
2	208	61	
2	209	63	
2	210	479	
2	211	428	
2	212	67	
2	213	111	
2	214	230	
2	215	83	
2	216	188	
2	125	415	
2	218	56	
2	485	512	
2	220	460	
2	221	503	
2	222	261	
2	223	45	
2	224	70	
2	225	254	
2	226	109	
2	227	508	
2	228	169	
2	230	271	
2	231	501	
2	232	165	
2	375	493	
2	234	185	
2	235	54	
2	236	510	
2	237	42	
2	238	36	
2	239	202	
2	240	176	
2	241	360	
2	242	95	
2	308	324	
2	244	231	
2	245	19	
2	246	76	
2	247	23	
2	248	281	
2	249	416	
2	250	312	
2	472	448	
2	252	279	
2	253	354	
2	254	138	
2	255	420	
2	257	376	
2	258	100	
2	259	141	
2	402	465	
2	260	310	
2	261	99	
2	513	144	
2	529	50	
2	536	59	
2	265	340	
2	266	382	
2	267	451	
2	268	126	
2	269	87	
2	270	97	
2	271	464	
2	272	220	
2	273	206	
2	274	384	
2	60	89	
2	276	275	
2	277	481	
2	278	534	
2	76	18	
2	280	388	
2	281	117	
2	282	106	
2	283	477	
2	95	318	
2	285	304	
2	286	211	
2	287	421	
2	288	171	
2	289	28	
2	290	402	
2	291	129	
2	292	303	
2	293	58	
2	294	504	
2	295	174	
2	296	284	
2	297	46	
2	298	86	
2	299	346	
2	136	282	
2	301	358	
2	302	251	
2	303	29	
2	304	429	
2	305	463	
2	306	168	
2	307	445	
2	243	170	
2	309	130	
2	310	524	
2	311	311	
2	312	530	
2	313	73	
2	314	502	
2	315	509	
2	316	291	
2	317	390	
2	318	110	
2	319	215	
2	320	361	
2	342	131	
2	322	221	
2	323	339	
2	324	107	
2	325	458	
2	326	285	
2	327	347	
2	328	9	
2	329	104	
2	330	385	
2	331	124	
2	500	33	
2	333	471	
2	334	197	
2	335	505	
2	336	427	
2	337	473	
2	358	101	
2	338	422	
2	49	11	
2	340	224	
2	341	237	
2	321	159	
2	343	242	
2	344	38	
2	437	192	
2	346	148	
2	347	183	
2	348	365	
2	349	98	
2	350	466	
2	351	313	
2	352	430	
2	353	298	
2	354	387	
2	355	389	
2	74	374	
2	356	154	
2	357	240	
2	359	229	
2	263	526	
2	360	506	
2	361	327	
2	362	243	
2	363	112	
2	364	65	
2	365	7	
2	366	413	
2	367	266	
2	368	391	
2	369	314	
2	370	153	
2	371	208	
2	372	15	
2	373	333	
2	374	196	
2	233	536	
2	376	515	
2	377	205	
2	378	480	
2	379	432	
2	380	198	
2	381	482	
2	382	499	
2	383	12	
2	384	217	
2	385	84	
2	386	305	
2	387	436	
2	388	39	
2	390	184	
2	391	30	
2	392	338	
2	393	441	
2	394	151	
2	148	425	
2	396	331	
2	397	142	
2	229	212	
2	399	288	
2	400	381	
2	401	267	
2	275	277	
2	403	203	
2	264	457	
2	404	500	
2	405	88	
2	406	118	
2	407	341	
2	408	5	
2	409	152	
2	410	96	
2	411	483	
2	412	22	
2	413	132	
2	414	379	
2	415	120	
2	416	276	
2	417	492	
2	418	186	
2	419	246	
2	420	286	
2	421	443	
2	422	136	
2	423	55	
2	424	163	
2	425	74	
2	426	133	
2	427	538	
2	428	94	
2	429	393	
2	430	199	
2	431	419	
2	432	307	
2	433	299	
2	434	344	
2	435	260	
2	436	320	
2	345	149	
2	438	287	
2	439	521	
2	251	511	
2	440	486	
2	441	227	
2	442	225	
2	443	514	
2	157	485	
2	445	437	
2	446	24	
2	447	518	
2	448	394	
2	449	135	
2	450	121	
2	451	219	
2	452	273	
2	453	249	
2	454	380	
2	455	507	
2	456	345	
2	457	72	
2	458	134	
2	459	238	
2	460	75	
2	461	292	
2	462	81	
2	463	433	
2	464	407	
2	465	64	
2	466	323	
2	467	189	
2	468	517	
2	122	115	
2	470	350	
2	471	270	
2	131	17	
2	473	25	
2	474	329	
2	475	297	
2	476	139	
2	477	49	
2	478	125	
2	479	180	
2	480	478	
2	481	57	
2	482	105	
2	527	71	
2	484	207	
2	219	405	
2	486	472	
2	487	321	
2	488	414	
2	489	247	
2	490	3	
2	491	200	
2	492	123	
2	493	442	
2	494	214	
2	495	66	
2	496	300	
2	497	236	
2	498	259	
2	499	519	
2	332	309	
2	501	440	
2	502	488	
2	503	37	
2	504	366	
2	505	177	
2	506	257	
2	507	255	
2	508	113	
2	509	426	
2	510	114	
2	511	248	
2	512	392	
2	262	373	
2	514	377	
2	515	306	
2	516	490	
2	517	494	
2	518	204	
2	519	496	
2	520	396	
2	81	453	
2	522	146	
2	523	250	
2	524	187	
2	525	352	
2	526	532	
2	483	252	
2	169	343	
2	530	258	
2	531	450	
2	532	160	
2	444	513	
2	533	78	
2	534	228	
2	535	452	
2	537	435	
2	538	498	
